MatchId,WinningTeam,Champion1,Champ1Spell1,Champ1Spell2,Champion2,Champ2Spell1,Champ2Spell2,Champion3,Champ3Spell1,Champ3Spell2,Champion4,Champ4Spell1,Champ4Spell2,Champion5,Champ5Spell1,Champ5Spell2,Champion6,Champ6Spell1,Champ6Spell2,Champion7,Champ7Spell1,Champ7Spell2,Champion8,Champ8Spell1,Champ8Spell2,Champion9,Champ9Spell1,Champ9Spell2,Champion10,Champ10Spell1,Champ10Spell2
2541519632,Purple,Ekko,Mark,Flash,Karma,Flash,Barrier,Warwick,Mark,Flash,Zed,Mark,Flash,Darius,Flash,Ignite,Rek'Sai,Flash,Mark,Talon,Mark,Flash,Ryze,Mark,Flash,Fiddlesticks,Flash,Mark,Quinn,Ghost,Flash
2541519633,Blue,Fiddlesticks,Mark,Flash,Dr. Mundo,Flash,Mark,Tristana,Barrier,Flash,Graves,Flash,Barrier,Sona,Flash,Exhaust,Nasus,Flash,Mark,Jarvan IV,Flash,Mark,Gragas,Flash,Mark,Kog'Maw,Heal,Flash,Fizz,Mark,Ignite
2541519634,Purple,Annie,Flash,Ignite,Vel'Koz,Flash,Clarity,Vayne,Flash,Ignite,Nidalee,Flash,Ghost,Sivir,Heal,Flash,Jinx,Barrier,Flash,Wukong,Mark,Flash,Jayce,Flash,Heal,Zilean,Heal,Flash,Varus,Heal,Flash
2541519635,Blue,Swain,Flash,Mark,Kayle,Flash,Cleanse,Lissandra,Flash,Mark,Jhin,Flash,Heal,Xerath,Flash,Heal,Udyr,Mark,Flash,Diana,Flash,Heal,Shaco,Mark,Flash,Orianna,Clarity,Flash,Fiora,Mark,Flash
2541519636,Purple,Jinx,Flash,Heal,Katarina,Mark,Flash,Malzahar,Flash,Heal,Ashe,Mark,Flash,Shaco,Flash,Ignite,Blitzcrank,Flash,Mark,Karthus,Clarity,Flash,Annie,Heal,Flash,Zac,Mark,Flash,Poppy,Heal,Flash
2541519638,Blue,Anivia,Mark,Flash,Sivir,Mark,Flash,Quinn,Mark,Flash,Udyr,Flash,Heal,Evelynn,Flash,Ghost,Shaco,Flash,Mark,Trundle,Flash,Mark,Mordekaiser,Flash,Mark,Master Yi,Flash,Mark,Thresh,Flash,Mark
2541519651,Blue,Brand,Ignite,Flash,Maokai,Mark,Flash,Nidalee,Flash,Mark,Lucian,Flash,Barrier,Vayne,Flash,Heal,Nasus,Flash,Mark,Morgana,Flash,Clarity,Cho'Gath,Flash,Ignite,Singed,Ghost,Ignite,Zac,Flash,Ignite
2541519652,Blue,Rengar,Mark,Flash,Karma,Flash,Mark,Wukong,Mark,Flash,Sion,Heal,Flash,Corki,Ignite,Flash,Katarina,Flash,Ignite,Taliyah,Flash,Clarity,Taric,Flash,Ignite,Twitch,Ignite,Flash,Fizz,Flash,Mark
2541519654,Purple,Blitzcrank,Barrier,Heal,Jarvan IV,Ghost,Ignite,Nidalee,Ghost,Barrier,Cho'Gath,Flash,Heal,Sivir,Exhaust,Heal,Sona,Clarity,Heal,Jayce,Barrier,Ignite,Ashe,Heal,Flash,Darius,Exhaust,Barrier,Jinx,Ignite,Exhaust
2541519655,Blue,Ezreal,Flash,Heal,Heimerdinger,Clarity,Flash,Blitzcrank,Mark,Flash,Quinn,Barrier,Flash,Nidalee,Flash,Clarity,Annie,Mark,Flash,Elise,Mark,Flash,Kennen,Flash,Mark,Lux,Flash,Mark,Katarina,Flash,Mark
2541519656,Purple,Jayce,Mark,Flash,Garen,Mark,Flash,Fizz,Mark,Flash,Morgana,Clarity,Flash,Nidalee,Flash,Clarity,Zilean,Mark,Ignite,Urgot,Flash,Heal,Poppy,Clarity,Mark,Jinx,Heal,Flash,Zyra,Heal,Flash
